Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Season
Arsenal,23,42.0,50,,224,,,5.33,,0.21,,4,5,1993-1994
Aston Villa,25,42.0,45,,166,,,3.95,,0.25,,3,3,1993-1994
Blackburn,22,42.0,63,,245,,,5.83,,0.24,,3,4,1993-1994
Chelsea,25,42.0,51,,178,,,4.24,,0.27,,3,5,1993-1994
Coventry City,27,42.0,43,,196,,,4.67,,0.2,,3,5,1993-1994
Everton,22,42.0,43,,183,,,4.36,,0.22,,3,4,1993-1994
Ipswich Town,21,42.0,31,,177,,,4.21,,0.16,,2,3,1993-1994
Leeds United,25,42.0,63,,199,,,4.74,,0.31,,1,2,1993-1994
Liverpool,26,42.0,54,,219,,,5.21,,0.22,,5,7,1993-1994
Manchester City,32,42.0,35,,136,,,3.24,,0.25,,1,2,1993-1994
Manchester Utd,23,42.0,79,,248,,,5.9,,0.31,,3,3,1993-1994
Newcastle Utd,27,42.0,80,,227,,,5.4,,0.31,,9,10,1993-1994
Norwich City,24,42.0,64,,184,,,4.38,,0.34,,1,1,1993-1994
Oldham Athletic,28,42.0,40,,166,,,3.95,,0.23,,1,2,1993-1994
QPR,22,42.0,60,,186,,,4.43,,0.3,,5,6,1993-1994
Sheffield Utd,28,42.0,41,,177,,,4.21,,0.23,,0,0,1993-1994
Sheffield Weds,27,42.0,71,,229,,,5.45,,0.3,,2,3,1993-1994
Southampton,31,42.0,50,,204,,,4.86,,0.21,,7,7,1993-1994
Swindon Town,26,42.0,45,,189,,,4.5,,0.2,,7,8,1993-1994
Tottenham,30,42.0,53,,195,,,4.64,,0.26,,2,4,1993-1994
West Ham,26,42.0,44,,169,,,4.02,,0.25,,2,3,1993-1994
Wimbledon,25,42.0,49,,197,,,4.69,,0.24,,1,2,1993-1994
Arsenal,30,42.0,54,,201,,,4.79,,0.25,,3,4,1994-1995
Aston Villa,26,42.0,48,,175,,,4.17,,0.27,,1,1,1994-1995
Blackburn,21,42.0,78,,264,,,6.29,,0.26,,10,12,1994-1995
Chelsea,24,42.0,47,,191,,,4.55,,0.24,,1,2,1994-1995
Coventry City,29,42.0,42,,204,,,4.86,,0.18,,5,5,1994-1995
Crystal Palace,25,42.0,33,,132,,,3.14,,0.24,,1,3,1994-1995
Everton,26,42.0,43,,186,,,4.43,,0.23,,1,3,1994-1995
Ipswich Town,33,42.0,27,,137,,,3.26,,0.18,,3,3,1994-1995
Leeds United,21,42.0,56,,223,,,5.31,,0.24,,3,4,1994-1995
Leicester City,30,42.0,46,,159,,,3.79,,0.29,,0,1,1994-1995
Liverpool,21,42.0,60,,228,,,5.43,,0.24,,5,6,1994-1995
Manchester City,27,42.0,53,,195,,,4.64,,0.27,,1,2,1994-1995
Manchester Utd,24,42.0,76,,198,,,4.71,,0.36,,4,4,1994-1995
Newcastle Utd,22,42.0,66,,172,,,4.1,,0.36,,4,5,1994-1995
Norwich City,26,42.0,31,,145,,,3.45,,0.2,,2,3,1994-1995
Nott'ham Forest,20,42.0,71,,210,,,5.0,,0.31,,5,6,1994-1995
QPR,23,42.0,60,,206,,,4.9,,0.29,,0,1,1994-1995
Sheffield Weds,24,42.0,48,,158,,,3.76,,0.3,,1,2,1994-1995
Southampton,26,42.0,61,,175,,,4.17,,0.33,,3,3,1994-1995
Tottenham,24,42.0,62,,199,,,4.74,,0.3,,2,3,1994-1995
West Ham,26,42.0,44,,184,,,4.38,,0.21,,5,5,1994-1995
Wimbledon,26,42.0,40,,171,,,4.07,,0.22,,3,4,1994-1995
Arsenal,25,38.0,49,,200,,,5.26,,0.23,,3,5,1995-1996
Aston Villa,24,38.0,49,,173,,,4.55,,0.27,,2,2,1995-1996
Blackburn,26,38.0,60,,220,,,5.79,,0.26,,3,3,1995-1996
Bolton,28,38.0,39,,166,,,4.37,,0.22,,3,3,1995-1996
Chelsea,25,38.0,45,,174,,,4.58,,0.24,,3,4,1995-1996
Coventry City,26,38.0,42,,183,,,4.82,,0.22,,1,2,1995-1996
Everton,24,38.0,63,,189,,,4.97,,0.31,,4,4,1995-1996
Leeds United,31,38.0,38,,186,,,4.89,,0.19,,2,3,1995-1996
Liverpool,19,38.0,68,,242,,,6.37,,0.28,,1,1,1995-1996
Manchester City,27,38.0,33,,166,,,4.37,,0.19,,1,2,1995-1996
Manchester Utd,23,38.0,72,,215,,,5.66,,0.32,,4,4,1995-1996
Middlesbrough,30,38.0,34,,153,,,4.03,,0.2,,3,4,1995-1996
Newcastle Utd,22,38.0,68,,215,,,5.66,,0.3,,3,4,1995-1996
Nott'ham Forest,22,38.0,48,,183,,,4.82,,0.25,,3,3,1995-1996
QPR,27,38.0,37,,152,,,4.0,,0.24,,0,1,1995-1996
